City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,tucker,33.8545,-84.2171,291.07,75,100,1.54,US,1715650340
533,narvik,68.4384,17.4272,283.36,96,99,3.43,NO,1715650340
534,al hawatah,13.4167,34.6333,308.22,20,100,1.93,SD,1715650342
535,agadez,19.75,10.25,304.25,15,100,2.64,NE,1715650342
536,sorong,-0.8833,131.25,301.57,76,100,1.34,ID,1715650342
537,sechura,-5.5569,-80.8222,294.27,75,90,7.01,PE,1715650343
538,ambovombe,-25.1667,46.0833,293.74,90,5,4.38,MG,1715650343
539,tayaman,13.2295,120.5726,304.35,59,100,3.32,PH,1715650344
540,salavat,53.3837,55.9077,275.53,76,34,3.03,RU,1715650344
541,magadan,59.5667,150.8,276.78,95,100,2.56,RU,1715650344
542,kangding,30.0513,101.9603,289.58,77,35,0.68,CN,1715650345
543,masuguru,-11.3667,38.4167,293.75,95,24,1.48,TZ,1715650345
544,an muileann gcearr,53.5333,-7.35,281.86,95,59,1.46,IE,1715650345
545,lawton,34.6087,-98.3903,296.28,60,0,2.57,US,1715650346
546,kuqa,41.7278,82.9364,301.19,17,100,5.45,CN,1715650346
547,rabo de peixe,37.8,-25.5833,288.88,63,75,2.06,PT,1715650347
548,tieling,42.2931,123.8414,296.73,38,100,4.81,CN,1715650348
549,nadi,-17.8,177.4167,301.15,69,40,4.63,FJ,1715650348
550,santa cruz,-17.8,-63.1667,288.85,82,100,7.2,BO,1715650261
551,olinda,-8.0089,-34.8553,301.0,78,75,1.54,BR,1715650207
552,divinopolis,-20.1389,-44.8839,290.71,57,2,1.46,BR,1715650223
553,ballina,-28.8667,153.5667,295.81,69,11,5.7,AU,1715650353
554,kerikeri,-35.2268,173.9474,289.93,53,99,3.24,NZ,1715650353
555,extrema,-22.8547,-46.3183,289.67,53,0,2.11,BR,1715650354
556,moapa valley,36.5805,-114.4703,306.99,9,29,3.71,US,1715650354
557,lospalos,-8.5186,127.0025,299.64,76,35,5.07,TL,1715650355
558,zhezqazghan,47.7833,67.7667,291.47,52,0,2.0,KZ,1715650355
559,luena,-11.7833,19.9167,290.25,72,0,2.57,AO,1715650355
560,beipiao,41.7919,120.7792,294.37,37,100,8.93,CN,1715650356
561,svitlovods'k,49.0489,33.2411,279.65,88,100,6.86,UA,1715650356
562,mgandu,-5.95,34.1333,287.53,88,98,2.65,TZ,1715650357
563,reggane,26.7158,0.1714,304.68,13,2,4.54,DZ,1715650358
564,westport,41.1415,-73.3579,287.99,84,100,2.57,US,1715650154
565,shenjiamen,29.9576,122.298,291.72,55,100,1.41,CN,1715650359
566,fallon,39.4735,-118.7774,301.08,19,75,4.12,US,1715650359
567,loiza,18.4313,-65.8802,301.74,81,40,3.09,PR,1715650360
568,dauphin,51.1494,-100.0502,282.23,71,100,2.06,CA,1715650360
569,afif,23.9065,42.9172,299.18,21,55,3.09,SA,1715650360
570,williams,52.1415,-122.1445,288.74,51,20,5.14,CA,1715650361
571,kodinsk,58.6881,99.1844,287.84,34,83,4.91,RU,1715650361
572,ambon,-3.6954,128.1814,303.64,95,40,1.54,ID,1715650361
573,shache,38.4167,77.2406,296.89,11,0,3.1,CN,1715650362
574,wenzhou,27.9994,120.6668,295.44,46,98,1.03,CN,1715650362
575,mejit,10.2753,170.8646,301.0,80,94,8.46,MH,1715650362
576,plettenberg bay,-34.0527,23.3716,289.33,66,0,1.98,ZA,1715650363
577,kayangel,8.0823,134.7173,302.2,75,47,5.21,PW,1715650363
578,inarajan village,13.2736,144.7484,305.04,83,69,6.45,GU,1715650363
579,karmala,18.4167,75.2,303.76,41,0,4.06,IN,1715650364
580,mangrol,21.1167,70.1167,301.95,71,0,3.71,IN,1715650364
581,alesund,62.4723,6.1549,287.09,76,100,3.6,NO,1715650364
582,pioner,55.3166,85.9508,287.84,47,0,2.0,RU,1715650365
